1	2389
2	88634
3	91325
4	100517
5	108777
6	112145
7	112506
8	111620
9	109238
10	102954
11	96286
12	87292
13	79104
14	69570
15	59341
16	50998
17	43515
18	36278
19	29429
20	23970
21	18920
22	14938
23	11783
24	9145
25	7071
26	5236
27	4086
28	2921
29	2296
30	1764
31	1365
32	1023
33	894
34	622
35	984
36	320
37	316
38	252
39	171
40	158
41	120
42	140
43	138
44	95
45	68
46	74
47	69
48	54
49	66
50	48
51	31
52	50
53	21
54	40
55	27
56	29
57	19
58	16
59	14
60	14
61	9
62	7
63	4
64	2
65	4
66	1
67	0
68	1
69	1
