%TopoRel	cant	naive_true	naive_all	gst_true	gst_all
CoveredBy	15		3.89333 	1.72769 	0.293333 	0.129813 
Covers		15		3.91556 	1.71546 	0.262222 	0.132162 
Equals		391		0.668883 	0.0276555 	0.0225064 	0.024712 
Includes	6		4.76667 	1.73344 	0.288889 	0.147134 
Inside		6		4.61111 	1.75719 	0.255556 	0.129794 
Overlaps	8176	22.5107 	17.7629 	1043.88 	1694.49 
Touches		992		14.4772 	14.8476 	1785.69 	1808.02 
Disjoint	143280	14.6188 	14.6849 	1856.28 	1798.66 
