%TopoRel	cant	naive_true	naive_all	gst_true	gst_all
CoveredBy	15		3.80889 	1.68056 	0.28 		0.167797 
Covers		15		3.96444 	1.74265 	0.257778 	0.162806 
Disjoint	143280	21.7846 	22.8512 	1871.78 	1818.4 
Equals		391		0.46087 	0.0216639 	0.0219949 	0.0244046 
Includes	6		4.44444 	1.71927 	0.277778 	0.132463 
Inside		6		4.44444 	1.90497 	0.255556 	0.125398 
Overlaps	8176	34.777 		22.0575 	1046.69 	1700.88 
Touches		992		21.3655 	22.4496 	1809.35 	1815.12 
