%relacion	nvCant	nvSamp	nvTrue	nvAll	pcCant	pcSamp	pcTrue	pcAll	gst0Can	gst0Sam	gst0True	gst0All	gst1Can	gst1Sam	gst1True	gst1All
Coveredby	15	105	3.72381	1.63293	15	105	0.0571429	0.0338826	15	105	22.0667	14.6395	15	105	21.9714	14.6263	
Covers	15	105	3.68571	1.62771	15	105	0.047619	0.0336863	15	105	21.7048	14.4405	15	105	21.7524	14.437	
Equals	391	391	0.664962	0.0194007	391	391	0.0511509	0.0338564	391	391	0.0255754	0.0238094	391	391	0.0255754	0.0238225	
Includes	6	102	4.36275	1.62848	6	102	0.0588235	0.0338433	6	102	1513.59	1286.36	6	102	1517.35	1285.91	
Inside	6	102	4.35294	1.635	6	102	0.0490196	0.0338368	6	102	1516.63	1288.51	6	102	1512.39	1288.26	
Overlaps	8182	8182	7.98301	7.30513	8182	8182	0.0405769	0.0339676	8182	8182	28.3084	31.6296	8182	8182	32.7458	36.4358	
Touches	986	986	4.90162	6.22803	986	986	0.0415822	0.0342358	986	986	2.60041	0.273389	986	986	9.39757	0.845462	
Disjoint	143280	143280	4.43296	4.58087	143280	143280	0.0397962	0.0333462	143280	143280	33.5614	34.0937	143280	143280	43.6559	43.511	
