%TopoRel	cant	naive_true	naive_all	naivePC_true	naivePC_all	gst_true	gst_all
CoveredBy	9	1.75556	1.02966	0.0814815	0.0430898	0.3	0.0946846
Covers	9	1.73333	1.0274	0.0740741	0.0425438	0.266667	0.0678628
Equals	991	0.390246	0.0198575	0.0922301	0.0426839	0.0226707	0.0245338
Includes	0	nan	1.02815	nan	0.0529045	nan	0.0694669
Inside	0	nan	1.03018	nan	0.0416615	nan	0.0959779
Overlaps	19896	5.2694	5.59385	0.0654001	0.0569868	537.8450	958.7260
Touches	7450	3.85238	5.16407	0.0593199	0.0421604	1453.42	1375.85
Disjoint	949766	3.54866	3.48526	0.061334	0.0551261	170.0490	1059.58
