%TopoRel	cant	naive_true	naive_all	naivePC_true	naivePC_all	gst_true	gst_all
CoveredBy	15	3.90667	1.74073	0.0711111	0.0424579	0.284444	0.0979258
Covers	15	3.89778	1.72654	0.0711111	0.0418103	0.262222	0.0886964
Equals	391	0.666155	0.0208528	0.0601876	0.0477169	0.0228474	0.0251503
Includes	6	4.75556	1.74096	0.0777778	0.0524199	0.288889	0.0755163
Inside	6	4.61111	1.73229	0.0666667	0.0413328	0.244444	0.100791
Overlaps	8182	10.0770	9.44906	0.0600668	0.0533029	1049.24	1703.61
Touches	986	6.55091	8.40416	0.0592292	0.0416533	2105.5	2091.56
Disjoint	143280	5.89074	5.79978	0.0603918	0.0559455	1862.2	1807.79
