%TopoRel	cant	naive_true	naive_all	naivePC_true	naivePC_all	gst_true	gst_all
CoveredBy	15	3.8	1.6696	0.047619	0.0339283		
Covers	15	3.7619	1.66935	0.047619	0.0331369		
Equals	391	4.4316	4.37058	0.0399497	0.0341115		
Includes	6	0.664962	0.0195315	0.0434783	0.0339807		
Inside	6	4.45098	1.67269	0.0490196	0.0339153		
Overlaps	8182	4.44118	1.66915	0.0490196	0.0339807		
Touches	986	8.2987	7.56732	0.040088	0.0337779		
Disjoint	143280	4.91278	6.45429	0.040568	0.0339218		
