%TopoRel	cant	naive_true	naive_all	gst_true	gst_all
CoveredBy	15		6.51111		2.14408		0.302222	0.135556
Covers		15		6.51556		2.21786		0.266667	0.134628
Equals		391		0.758056	0.026537	0.0226769	0.0250064
Includes	6		7.4			2.02171		0.3			0.137192
Inside		6		7.34444		1.95267		0.266667	0.129748
Overlaps	8176	41.147		25.1716		1076.26		1751.63
Touches		992		24.9534		27.2908		1848.12		1863.81
Disjoint	143280	26.4536		26.4266		1919.92		1865.9
