%relacion	nvCant	nvSamp	nvTrue	nvAll	pcCant	pcSamp	pcAll	pcTrue	gstCan	gstSam	gstAll	gstTrue
Coveredby	15	105	3.92381	1.71418	15	105	0.0761905	0.0344058	15	105	22.381	14.6371	
Covers	15	105	3.92381	1.70642	15	105	0.0666667	0.0345105	15	105	22.0667	14.6789	
Equals	391	391	0.670077	0.0209444	391	391	0.0434783	0.0344451	391	391	0.0255754	0.0246728	
Includes	6	102	4.61765	1.70812	6	102	0.0490196	0.0358776	6	102	1548.88	1312.14	
Inside	6	102	4.56863	1.70918	6	102	0.0490196	0.0341507	6	102	1548.38	1313.74	
Overlaps	8182	8182	10.268	9.64299	8182	8182	0.0421657	0.0343077	8182	8182	28.9124	32.0672	
Touches	986	986	6.61359	8.45852	986	986	0.0415822	0.0344124	986	986	2.61968	0.266835	
Disjoint	143280	143280	5.98153	5.95739	143280	143280	0.0405011	0.034517	143280	143280	34.2514	34.1869	
