%relacion	nvCant	nvSamp	nvTrue	nvAll	pcCant	pcSamp	pcTrue	pcAll	gst0Can	gst0Sam	gst0True	gst0All	gst1Can	gst1Sam	gst1True	gst1All
Coveredby	15	105	3.74286	1.63806	15	105	0.0571429	0.0340526	15	105	22.1048	14.4701	15	105	22.1238	14.468	
Covers	15	105	3.69524	1.633	15	105	0.047619	0.0338433	15	105	21.7619	14.705	15	105	21.7619	14.4934	
Equals	391	391	0.662404	0.0194073	391	391	0.0434783	0.0338041	391	391	0.0460358	0.0241103	391	391	0.0230179	0.0241299	
Includes	6	102	4.37255	1.63263	6	102	0.0490196	0.0336536	6	102	1532.56	1302.07	6	102	1537.07	1304.96	
Inside	6	102	4.37255	1.64118	6	102	0.0588235	0.0335293	6	102	1535.5	1306.52	6	102	1532.4	1306.29	
Overlaps	8182	8182	8.05231	7.35025	8182	8182	0.0398436	0.0339611	8182	8182	28.4144	31.7625	8182	8182	32.9115	36.3714	
Touches	986	986	4.90568	6.24016	986	986	0.0415822	0.0365971	986	986	2.58418	0.270962	986	986	9.45943	0.849092	
Disjoint	143280	143280	4.65738	4.36896	143280	143280	0.0398451	0.0337387	143280	143280	33.9246	33.2389	143280	143280	43.8192	42.9167	
